Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
strand_count_3gram_tfidf,KMeans,<0.001,1,210,1.218,Chromatin & Development,56.88,Multifunctional DOF Regulation,39.84,Vascular Development,1.37
strand_count_3gram_tfidf,KMeans,<0.001,2,229,0.8,Multifunctional DOF Regulation,81.89,Chromatin & Development,16.26,Vascular Development,1.01
strand_count_3gram_tfidf,KMeans,<0.001,3,327,1.286,Multifunctional DOF Regulation,68.7,Chromatin & Development,19.75,Vascular Development,10.14
strand_count_3gram_tfidf,KMeans,<0.001,4,41,1.378,Multifunctional DOF Regulation,62.24,Vascular Development,22.45,Chromatin & Development,14.29
strand_count_3gram_tfidf,Hierarchical,<0.001,0,249,0.419,Multifunctional DOF Regulation,93.13,Chromatin & Development,5.79,Inflorescence Development,0.49
strand_count_3gram_tfidf,Hierarchical,<0.001,1,30830,1.588,Multifunctional DOF Regulation,51.05,Chromatin & Development,39.36,Vascular Development,4.17
strand_count_3gram_tfidf,Hierarchical,<0.001,2,103,0.387,Multifunctional DOF Regulation,93.88,Chromatin & Development,5.1,Vascular Development,0.51
strand_count_3gram_tfidf,Hierarchical,<0.001,3,58,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
strand_count_3gram_tfidf,Hierarchical,<0.001,4,55,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
strand_count_combined_tfidf,KMeans,<0.001,0,23886,1.731,Multifunctional DOF Regulation,46.55,Chromatin & Development,40.98,Vascular Development,5.28
strand_count_combined_tfidf,KMeans,<0.001,1,1844,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count_combined_tfidf,KMeans,<0.001,2,1778,0.006,Multifunctional DOF Regulation,99.95,Chromatin & Development,0.05,Inflorescence Development,0.0
strand_count_combined_tfidf,KMeans,<0.001,3,2002,1.09,Chromatin & Development,69.19,Multifunctional DOF Regulation,27.86,Vascular Development,1.5
strand_count_combined_tfidf,KMeans,<0.001,4,1785,0.879,Multifunctional DOF Regulation,80.57,Chromatin & Development,16.48,Vascular Development,1.87
strand_count_combined_tfidf,Hierarchical,<0.001,0,5579,1.361,Chromatin & Development,47.0,Multifunctional DOF Regulation,45.67,Vascular Development,6.48
strand_count_combined_tfidf,Hierarchical,<0.001,1,6790,1.258,Multifunctional DOF Regulation,52.75,Chromatin & Development,43.14,Vascular Development,2.96
strand_count_combined_tfidf,Hierarchical,<0.001,2,1887,0.163,Multifunctional DOF Regulation,98.01,Chromatin & Development,1.38,Vascular Development,0.53
strand_count_combined_tfidf,Hierarchical,<0.001,3,1906,0.005,Multifunctional DOF Regulation,99.96,Growth & Cell Proliferation,0.04,Inflorescence Development,0.0
strand_count_combined_tfidf,Hierarchical,<0.001,4,15133,2.397,Multifunctional DOF Regulation,40.42,Chromatin & Development,31.19,Inflorescence Development,8.42
strand_binary_1gram_tfidf,KMeans,<0.001,0,4056,1.351,Chromatin & Development,57.59,Multifunctional DOF Regulation,36.49,Vascular Development,2.39
strand_binary_1gram_tfidf,KMeans,<0.001,1,3552,0.549,Multifunctional DOF Regulation,91.12,Chromatin & Development,5.25,Vascular Development,3.02
strand_binary_1gram_tfidf,KMeans,<0.001,2,15455,2.538,Multifunctional DOF Regulation,47.75,Chromatin & Development,14.06,Vascular Development,12.52
strand_binary_1gram_tfidf,KMeans,<0.001,3,3586,0.663,Multifunctional DOF Regulation,87.48,Chromatin & Development,10.02,Vascular Development,1.79
strand_binary_1gram_tfidf,KMeans,<0.001,4,4646,1.384,Chromatin & Development,55.24,Multifunctional DOF Regulation,38.26,Vascular Development,3.7
strand_binary_1gram_tfidf,Hierarchical,<0.001,0,5895,1.299,Multifunctional DOF Regulation,49.02,Chromatin & Development,43.78,Vascular Development,7.19
strand_binary_1gram_tfidf,Hierarchical,<0.001,1,6221,1.155,Multifunctional DOF Regulation,49.95,Chromatin & Development,47.28,Vascular Development,2.78
strand_binary_1gram_tfidf,Hierarchical,<0.001,2,1843,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_1gram_tfidf,Hierarchical,<0.001,3,2206,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_1gram_tfidf,Hierarchical,<0.001,4,15130,2.395,Multifunctional DOF Regulation,39.79,Chromatin & Development,31.43,Inflorescence Development,9.35
strand_binary_2gram_tfidf,KMeans,<0.001,0,1520,1.155,Chromatin & Development,66.62,Multifunctional DOF Regulation,29.76,Vascular Development,1.69
strand_binary_2gram_tfidf,KMeans,<0.001,1,1284,0.955,Multifunctional DOF Regulation,77.84,Chromatin & Development,18.86,Vascular Development,2.02
strand_binary_2gram_tfidf,KMeans,<0.001,2,26494,1.731,Multifunctional DOF Regulation,47.32,Chromatin & Development,40.27,Vascular Development,5.17
strand_binary_2gram_tfidf,KMeans,<0.001,3,746,0.886,Multifunctional DOF Regulation,80.52,Chromatin & Development,16.41,Vascular Development,1.72
strand_binary_2gram_tfidf,KMeans,<0.001,4,1251,1.045,Multifunctional DOF Regulation,74.1,Chromatin & Development,22.05,Vascular Development,2.38
strand_binary_2gram_tfidf,Hierarchical,<0.001,0,859,0.046,Multifunctional DOF Regulation,99.52,Chromatin & Development,0.44,Vascular Development,0.05
strand_binary_2gram_tfidf,Hierarchical,<0.001,1,1933,1.283,Multifunctional DOF Regulation,67.34,Chromatin & Development,16.87,Vascular Development,15.26
strand_binary_2gram_tfidf,Hierarchical,<0.001,2,360,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_binary_2gram_tfidf,Hierarchical,<0.001,3,348,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_binary_2gram_tfidf,Hierarchical,<0.001,4,27795,1.593,Multifunctional DOF Regulation,49.26,Chromatin & Development,41.66,Vascular Development,2.75
strand_binary_3gram_tfidf,KMeans,<0.001,0,30487,1.589,Multifunctional DOF Regulation,50.93,Chromatin & Development,39.59,Vascular Development,3.89
strand_binary_3gram_tfidf,KMeans,<0.001,1,211,1.221,Chromatin & Development,56.95,Multifunctional DOF Regulation,39.71,Vascular Development,1.35
strand_binary_3gram_tfidf,KMeans,<0.001,2,228,0.783,Multifunctional DOF Regulation,82.65,Chromatin & Development,15.46,Vascular Development,1.03
strand_binary_3gram_tfidf,KMeans,<0.001,3,328,1.291,Multifunctional DOF Regulation,68.38,Chromatin & Development,20.11,Vascular Development,10.11
strand_binary_3gram_tfidf,KMeans,<0.001,4,41,1.378,Multifunctional DOF Regulation,62.24,Vascular Development,22.45,Chromatin & Development,14.29
strand_binary_3gram_tfidf,Hierarchical,<0.001,0,30726,1.591,Multifunctional DOF Regulation,51.07,Chromatin & Development,39.27,Vascular Development,4.2
strand_binary_3gram_tfidf,Hierarchical,<0.001,1,146,1.051,Chromatin & Development,57.53,Multifunctional DOF Regulation,41.7,Inflorescence Development,0.39
strand_binary_3gram_tfidf,Hierarchical,<0.001,2,212,0.391,Multifunctional DOF Regulation,93.89,Chromatin & Development,5.13,Vascular Development,0.37
strand_binary_3gram_tfidf,Hierarchical,<0.001,3,153,0.69,Multifunctional DOF Regulation,85.34,Chromatin & Development,13.15,Vascular Development,0.96
strand_binary_3gram_tfidf,Hierarchical,<0.001,4,58,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
strand_binary_combined_tfidf,KMeans,<0.001,0,24500,1.662,Multifunctional DOF Regulation,54.93,Chromatin & Development,33.3,Vascular Development,5.11
strand_binary_combined_tfidf,KMeans,<0.001,1,1629,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_combined_tfidf,KMeans,<0.001,2,1824,1.003,Chromatin & Development,72.56,Multifunctional DOF Regulation,25.23,Vascular Development,0.91
strand_binary_combined_tfidf,KMeans,<0.001,3,1576,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_combined_tfidf,KMeans,<0.001,4,1766,1.01,Chromatin & Development,71.58,Multifunctional DOF Regulation,26.32,Vascular Development,1.06
strand_binary_combined_tfidf,Hierarchical,<0.001,0,4773,1.12,Chromatin & Development,51.33,Multifunctional DOF Regulation,47.33,Vascular Development,0.52
strand_binary_combined_tfidf,Hierarchical,<0.001,1,6547,1.315,Multifunctional DOF Regulation,52.83,Chromatin & Development,40.53,Vascular Development,6.05
strand_binary_combined_tfidf,Hierarchical,<0.001,2,1576,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_combined_tfidf,Hierarchical,<0.001,3,1629,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_binary_combined_tfidf,Hierarchical,<0.001,4,16770,2.101,Multifunctional DOF Regulation,46.47,Chromatin & Development,32.62,Vascular Development,5.48
interval_count_1gram_tfidf,KMeans,<0.001,0,13754,3.192,Multifunctional DOF Regulation,26.0,Inflorescence Development,15.02,Chromatin & Development,14.89
